('Hassan Adams', '/players/a/adamsha01.html')
('Russell Westbrook', '/players/w/westbru01.html')
('Karl-Anthony Towns', '/players/t/townska01.html')
('Dorell Wright', '/players/w/wrighdo01.html')
('Tyler Lydon', '/players/l/lydonty01.html')
('Willie Cauley-Stein', '/players/c/caulewi01.html')
('Jermaine Taylor', '/players/t/tayloje02.html')
('Michael Curry', '/players/c/currymi01.html')
('David West', '/players/w/westda01.html')
('Bryon Russell', '/players/r/russebr01.html')
('Amir Johnson', '/players/j/johnsam01.html')
('Darrun Hilliard', '/players/h/hillida01.html')
('Yao Ming', '/players/m/mingya01.html')
('Bruce Brown', '/players/b/brownbr01.html')
('Kelly Olynyk', '/players/o/olynyke01.html')
('Thomas Gardner', '/players/g/gardnth01.html')
('Steve Nash', '/players/n/nashst01.html')
('Collin Sexton', '/players/s/sextoco01.html')
("Johnny O'Bryant", '/players/o/obryajo01.html')
('DeMarco Johnson', '/players/j/johnsde02.html')
('Jared Dudley', '/players/d/dudleja01.html')
('J.R. Bremer', '/players/b/bremejr01.html')
('Javaris Crittenton', '/players/c/crittja01.html')
('C.J. Williams', '/players/w/willicj01.html')
('Francisco García', '/players/g/garcifr01.html')
("Patrick O'Bryant", '/players/o/obryapa01.html')
('Tito Maddox', '/players/m/maddoti01.html')
('Malcolm Thomas', '/players/t/thomama01.html')
('Rafer Alston', '/players/a/alstora01.html')
('Antoine Wright', '/players/w/wrighan01.html')
('Charlie Bell', '/players/b/bellch01.html')
('Andrew Bynum', '/players/b/bynuman01.html')
('Ronnie Brewer', '/players/b/brewero02.html')
('Courtney Alexander', '/players/a/alexaco02.html')
('Courtney Lee', '/players/l/leeco01.html')
('Carlos Rogers', '/players/r/rogerca01.html')
('Zydrunas Ilgauskas', '/players/i/ilgauzy01.html')
('Matt Carroll', '/players/c/carroma01.html')
("J.J. O'Brien", '/players/o/obriejj01.html')
('Duncan Robinson', '/players/r/robindu01.html')
('Josh McRoberts', '/players/m/mcrobjo01.html')
('Vernon Maxwell', '/players/m/maxweve01.html')
('Jason Williams', '/players/w/willija02.html')
('Sergei Monia', '/players/m/moniase01.html')
('Josh Gray', '/players/g/grayjo01.html')
('Dwight Powell', '/players/p/poweldw01.html')
('Cory Alexander', '/players/a/alexaco01.html')
('Ben Gordon', '/players/g/gordobe01.html')
('Chris Chiozza', '/players/c/chiozch01.html')
('Rodions Kurucs', '/players/k/kurucro01.html')
('Kelvin Cato', '/players/c/catoke01.html')
('Dean Oliver', '/players/o/olivede01.html')
('Kenyon Martin', '/players/m/martike01.html')
('Semih Erden', '/players/e/erdense01.html')
('Jerome Robinson', '/players/r/robinje01.html')
('Lucious Harris', '/players/h/harrilu01.html')
('Francisco Elson', '/players/e/elsonfr01.html')
('Rasual Butler', '/players/b/butlera01.html')
('Shawn Bradley', '/players/b/bradlsh01.html')
('Calvin Booth', '/players/b/boothca01.html')
('Jared Terrell', '/players/t/terreja01.html')
('Keith Appling', '/players/a/applike01.html')
('Anfernee Hardaway', '/players/h/hardaan01.html')
('Quincy Lewis', '/players/l/lewisqu01.html')
('Josh Powell', '/players/p/poweljo01.html')
('Channing Frye', '/players/f/fryech01.html')
('Timothé Luwawu-Cabarrot', '/players/l/luwawti01.html')
('Robbie Hummel', '/players/h/hummero01.html')
('D.J. Stephens', '/players/s/stephdj01.html')
('Bob Sura', '/players/s/surabo01.html')
('Joe Crispin', '/players/c/crispjo01.html')
('Darvin Ham', '/players/h/hamda01.html')
('Gary Harris', '/players/h/harriga01.html')
('Damian Lillard', '/players/l/lillada01.html')
('Pape Sow', '/players/s/sowpa01.html')
('Bryn Forbes', '/players/f/forbebr01.html')
('Cezary Trybański', '/players/t/trybace01.html')
('Paul Pierce', '/players/p/piercpa01.html')
('Hollis Thompson', '/players/t/thompho01.html')
